06:09:46.174 INFO  Starting ... {'timeout_duration': 1800}
06:09:46.382 INFO  Starting ... {'streams': ['btcinr@trades', 'ethinr@trades', 'dogeinr@trades', 'maticinr@trades', 'adainr@trades']}
06:09:46.476 INFO  Trade received for dogeinr
06:09:46.601 INFO  Starting ... {'streams': ['ftminr@trades', 'xrpinr@trades', 'sandinr@trades', 'usdtinr@trades', 'solinr@trades']}
06:09:46.601 INFO  Starting ... {'streams': ['manainr@trades', 'dotinr@trades', 'lunainr@trades', 'trxinr@trades', 'vetinr@trades']}
06:09:46.601 INFO  Starting ... {'streams': ['lunausdt@trades', 'ethusdt@trades']}
06:09:46.697 INFO  Trade received for usdtinr
06:09:46.775 INFO  Trade received for lunausdt
06:09:46.853 INFO  Trade received for usdtinr
06:09:46.853 INFO  Trade received for usdtinr
06:09:47.808 INFO  Trade received for sandinr
06:09:47.886 INFO  Trade received for btcinr
06:09:47.902 INFO  Trade received for btcinr
06:09:47.902 INFO  Trade received for btcinr
06:09:48.027 INFO  Trade received for lunainr
06:09:48.136 INFO  Trade received for btcinr
06:09:48.152 INFO  Trade received for btcinr
06:09:48.152 INFO  Trade received for btcinr
06:09:48.199 INFO  Trade received for dogeinr
06:09:48.214 INFO  Trade received for dogeinr
06:09:48.292 INFO  Trade received for btcinr
06:09:48.292 INFO  Trade received for btcinr
06:09:48.308 INFO  Trade received for btcinr
06:09:48.324 INFO  Trade received for btcinr
06:09:48.584 INFO  Trade received for lunainr
06:09:49.235 INFO  Trade received for ethinr
06:09:50.783 INFO  Trade received for sandinr
06:09:51.491 INFO  Trade received for trxinr
06:09:51.522 INFO  Trade received for ethinr
06:09:51.585 INFO  Trade received for usdtinr
06:09:51.600 INFO  Trade received for adainr
06:09:51.864 INFO  Trade received for ftminr
06:09:53.056 INFO  Trade received for usdtinr
06:09:53.056 INFO  Trade received for usdtinr
06:09:53.388 INFO  Trade received for trxinr
06:09:53.997 INFO  Trade received for ftminr
06:09:54.013 INFO  Trade received for ftminr
06:09:54.044 INFO  Trade received for usdtinr
06:09:54.411 INFO  Trade received for btcinr
06:09:55.474 INFO  Trade received for solinr
06:09:56.244 INFO  Trade received for dogeinr
06:09:56.498 INFO  Trade received for maticinr
06:09:56.988 INFO  Trade received for maticinr
06:09:57.747 INFO  Trade received for solinr
06:09:59.464 INFO  Trade received for ftminr
06:09:59.511 INFO  Trade received for usdtinr
06:09:59.620 INFO  Trade received for usdtinr
06:09:59.730 INFO  Trade received for adainr
06:09:59.761 INFO  Trade received for adainr
06:09:59.792 INFO  Trade received for adainr
06:09:59.792 INFO  Trade received for adainr
06:09:59.839 INFO  Trade received for adainr
06:09:59.886 INFO  Trade received for adainr
06:10:00.442 INFO  Trade received for ethinr
06:10:00.727 INFO  Trade received for usdtinr
06:10:00.727 INFO  Trade received for usdtinr
06:10:00.727 INFO  Trade received for usdtinr
06:10:00.743 INFO  Trade received for usdtinr
06:10:00.868 INFO  Trade received for dogeinr
06:10:01.056 INFO  Trade received for usdtinr
06:10:01.297 INFO  Trade received for sandinr
06:10:02.760 INFO  Trade received for ethinr
06:10:03.041 INFO  Trade received for ftminr
06:10:03.073 INFO  Trade received for usdtinr
06:10:03.088 INFO  Trade received for ftminr
06:10:03.721 INFO  Trade received for xrpinr
06:10:03.752 INFO  Trade received for usdtinr
06:10:04.404 INFO  Trade received for xrpinr
06:10:05.974 INFO  Trade received for maticinr
06:10:06.099 INFO  Trade received for btcinr
06:10:06.239 INFO  Trade received for xrpinr
06:10:06.562 INFO  Trade received for xrpinr
06:10:06.594 INFO  Trade received for maticinr
06:10:07.329 INFO  Trade received for dogeinr
06:10:08.801 INFO  Trade received for xrpinr
06:10:09.325 INFO  Trade received for usdtinr
06:10:09.340 INFO  Trade received for usdtinr
06:10:09.340 INFO  Trade received for usdtinr
06:10:09.512 INFO  Trade received for btcinr
06:10:09.801 INFO  Trade received for btcinr
06:10:10.041 INFO  Trade received for btcinr
06:10:10.057 INFO  Trade received for btcinr
06:10:10.104 INFO  Trade received for btcinr
06:10:11.047 INFO  Trade received for btcinr
06:10:12.006 INFO  Trade received for maticinr
06:10:12.006 INFO  Trade received for maticinr
