20:31:22.567 INFO  $$ Subscribed for: transactions/btc-pln $$
20:31:22.582 INFO  $$ Subscribed for: transactions/eth-pln $$
20:31:22.582 INFO  $$ Subscribed for: transactions/luna-pln $$
20:31:22.582 INFO  $$ Subscribed for: transactions/ftm-pln $$
20:31:22.582 INFO  $$ Subscribed for: transactions/btc-eur $$
20:31:22.582 INFO  $$ Subscribed for: transactions/xrp-pln $$
20:31:22.582 INFO  $$ Subscribed for: transactions/eth-eur $$
20:31:22.582 INFO  $$ Subscribed for: transactions/ada-pln $$
20:31:22.583 INFO  $$ Subscribed for: transactions/matic-pln $$
20:31:22.583 INFO  $$ Subscribed for: transactions/usdt-pln $$
20:31:22.583 INFO  $$ Subscribed for: transactions/dot-pln $$
20:31:22.588 INFO  $$ Subscribed for: transactions/avax-pln $$
20:31:22.588 INFO  $$ Subscribed for: transactions/doge-pln $$
20:31:22.588 INFO  $$ Subscribed for: transactions/trx-pln $$
20:31:22.588 INFO  $$ Subscribed for: transactions/mana-pln $$
20:31:22.588 INFO  $$ Subscribed for: transactions/link-pln $$
20:31:40.327 INFO  Trade received for trxpln
20:31:44.186 INFO  Trade received for btcpln
20:31:49.311 INFO  Trade received for ethpln
20:31:50.458 INFO  Trade received for ethpln
20:31:51.201 INFO  Trade received for btcpln
20:31:57.647 INFO  Trade received for lunapln
20:32:03.918 INFO  Trade received for btcpln
20:32:30.011 INFO  Trade received for xrppln
20:32:31.664 INFO  Trade received for btcpln
20:32:34.731 INFO  Trade received for btcpln
20:32:39.776 INFO  Trade received for lunapln
20:32:39.777 INFO  Trade received for lunapln
20:32:39.778 INFO  Trade received for lunapln
20:32:55.959 INFO  Trade received for ethpln
20:32:57.052 INFO  Trade received for trxpln
20:33:07.833 INFO  Trade received for ethpln
20:33:08.549 INFO  Trade received for ethpln
20:33:17.117 INFO  Trade received for lunapln
20:33:17.575 INFO  Trade received for xrppln
20:33:19.565 INFO  Trade received for xrppln
20:33:23.969 INFO  Trade received for ethpln
20:33:25.828 INFO  Trade received for btcpln
20:33:29.602 INFO  Trade received for xrppln
20:33:32.735 INFO  Trade received for adapln
20:33:35.823 INFO  Trade received for btcpln
20:33:42.140 INFO  Trade received for dogepln
20:33:42.141 INFO  Trade received for dogepln
20:33:42.148 INFO  Trade received for dogepln
20:33:43.245 INFO  Trade received for xrppln
20:33:43.324 INFO  Trade received for dogepln
20:33:45.145 INFO  Trade received for btcpln
20:34:11.816 INFO  Trade received for lunapln
20:34:11.818 INFO  Trade received for lunapln
20:34:26.992 INFO  Trade received for btcpln
20:34:33.818 INFO  Trade received for trxpln
20:34:42.234 INFO  Trade received for dogepln
20:34:44.779 INFO  Trade received for btcpln
20:34:44.780 INFO  Trade received for btcpln
20:34:56.487 INFO  Trade received for btcpln
20:35:27.296 INFO  Trade received for maticpln
20:35:34.114 INFO  Trade received for maticpln
20:35:36.009 INFO  Trade received for ethpln
20:35:38.046 INFO  Trade received for btcpln
20:35:38.070 INFO  Trade received for btcpln
20:35:38.529 INFO  Trade received for btcpln
20:35:38.976 INFO  Trade received for maticpln
20:35:56.321 INFO  Trade received for btcpln
20:35:58.481 INFO  Trade received for ethpln
20:36:10.864 INFO  Trade received for btcpln
20:36:10.865 INFO  Trade received for btcpln
20:36:20.828 INFO  Trade received for ethpln
20:36:20.829 INFO  Trade received for ethpln
20:36:24.659 INFO  Trade received for btcpln
20:36:24.660 INFO  Trade received for btcpln
20:36:25.030 INFO  Trade received for maticpln
20:36:33.537 INFO  Trade received for ethpln
20:36:36.912 INFO  Trade received for manapln
20:36:36.913 INFO  Trade received for maticpln
20:36:59.565 INFO  Trade received for maticpln
20:36:59.770 INFO  Trade received for usdtpln
20:37:07.684 INFO  Trade received for ethpln
20:37:07.686 INFO  Trade received for ethpln
20:37:07.686 INFO  Trade received for ethpln
20:37:20.115 INFO  Trade received for maticpln
20:37:20.291 INFO  Trade received for usdtpln
20:37:29.856 INFO  Trade received for btcpln
20:37:29.913 INFO  Trade received for btcpln
20:37:31.854 INFO  Trade received for xrppln
20:37:31.891 INFO  Trade received for xrppln
20:37:32.643 INFO  Trade received for ethpln
20:37:36.435 INFO  Trade received for ethpln
20:37:36.436 INFO  Trade received for ethpln
20:37:51.828 INFO  Trade received for ftmpln
20:37:51.830 INFO  Trade received for ftmpln
20:38:13.136 INFO  Trade received for btcpln
20:38:14.361 INFO  Trade received for btcpln
20:38:26.145 INFO  Trade received for xrppln
20:38:40.086 INFO  Trade received for manapln
20:38:43.344 INFO  Trade received for xrppln
20:38:43.364 INFO  Trade received for xrppln
20:38:43.370 INFO  Trade received for xrppln
20:38:43.370 INFO  Trade received for xrppln
20:39:07.312 INFO  Trade received for btcpln
20:39:28.749 INFO  Trade received for ethpln
20:39:28.751 INFO  Trade received for ethpln
20:39:29.171 INFO  Trade received for btcpln
20:39:45.229 INFO  Trade received for ethpln
20:39:45.231 INFO  Trade received for ethpln
20:39:51.515 INFO  Trade received for maticpln
20:39:53.700 INFO  Trade received for xrppln
20:39:55.979 INFO  Trade received for ethpln
20:39:56.608 INFO  Trade received for btcpln
20:40:00.576 INFO  Trade received for maticpln
20:40:02.150 INFO  Trade received for btcpln
20:40:16.277 INFO  Trade received for lunapln
20:40:24.742 INFO  Trade received for maticpln
20:40:24.747 INFO  Trade received for maticpln
20:40:33.296 INFO  Trade received for maticpln
20:40:34.445 INFO  Trade received for btcpln
20:40:34.746 INFO  Trade received for maticpln
20:40:34.747 INFO  Trade received for maticpln
20:40:34.747 INFO  Trade received for maticpln
20:40:34.748 INFO  Trade received for maticpln
20:40:37.893 INFO  Trade received for usdtpln
20:40:54.348 INFO  Trade received for dotpln
20:40:55.402 INFO  Trade received for ethpln
