08:46:08.027 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:46:12.804 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:46:17.698 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:46:22.756 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:46:27.711 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:46:32.714 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:46:37.711 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:46:42.790 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:46:47.741 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:46:52.826 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:46:57.748 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:47:02.869 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:47:08.021 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:47:12.825 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:47:17.842 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:47:22.927 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:47:27.844 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:47:32.904 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:47:37.841 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:47:42.915 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:47:47.857 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:47:52.905 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:47:57.869 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
08:48:02.917 INFO  Ob received and successfully saved into database for ['btcpln', 'ethpln', 'lunapln', 'ftmpln'] 
